Paper Number,Title,Authors,Journal,Publication,Year,Summary
3,Automated Cloud Infrastructure-as-Code Reconciliation with,Authors not extracted,arXiv:2510.20211v1 [cs.SE] 23 Oct 2025,arXiv:2510.20211v1 [cs.SE] 23 Oct 2025,2025,"Objectives: aims to propagate out-of-band changes back to the IaC program in the form of an update. | Methodology: frameworks will revert non-IaC changes based on the outdated IaC configuration, leading to misconfigurations or failures. | Key Findings: 62% market share as of 2025; 1.47x improvement. | Contributions: contribute a novel evaluation pipeline for injecting drift to cloud infrastructure and assessing reconciliation attempts, by sourcing from authoritative cloud operation examples and transplating them into an IaC-centric framework. | Limitations: challenges and solutions in automated IaC reconciliation in ourNSyncdesign."
5,Terraformization: Revolutionizing Enterprise IT Strategy,Authors not extracted,Engineering and Technology Advances,Engineering and Technology Advances,2025,"Objectives: This article presents a comprehensive analysis of Terraformization —the enterprise -wide adoption of Terraform as the primary Infrastructure as Code (IaC) solution —and its transformative impact on modern IT strategy. | Methodology: approaches and examines how leading organizations leverage Terraform to drive innovation acr oss multi -cloud environments. | Key Findings: 78% reduction in security misconfigurations; 91% decrease in credential; 83% fewer change management audit findings; 67% lower disaster recovery costs with 90; 94% of technology sector respondents reported; 47% higher revenue growth and 52. | Contributions: contributes to improved Recovery Time Objectives (RTO), which represents one of the most compelling benefits of Terraformization for business continuity, ensuring that systems can be quickly restored with minimal d owntime. | Limitations: challenges, offering a programmatic approach to infrastructure management."
6,"A Conceptual Model for Secure DevOps Architecture Using Jenkins, Terraform, and Kubernetes","Software Engineer, Mistplay Toronto",of Multidisciplinary Resea rch and Growth Evaluation www.allmultidisciplinaryjo,of Multidisciplinary Resea rch and Growth Evaluation www.allmultidisciplinaryjo,2023,"Objectives: This paper proposes a conceptual model for a secure DevOps architecture that leverages Jenkins, Terraform, and Kubernetes to ensure continuous integration, continuous delivery, infrastructure as code (IaC), and container orchestration, all unde rpinned by robust security principles. | Methodology: model for a secure DevOps architecture that leverages Jenkins, Terraform, and Kubernetes to ensure continuous integration, continuous delivery, infrastructure as code (IaC), and container orchestration, all unde rpinned by robust security principles. | Contributions: contributes to the growing body of DevSecOps knowledge by providing a comprehensive framework that operationalizes security from infrastructure provisioning to application deployment. | Limitations: challenges and persistent gaps that threat en the realization of truly secure DevOps environments."
11,Sreeja Reddy Challa *,Authors not extracted,Advanced Research and Reviews,Advanced Research and Reviews,2025,"Objectives: This article examines the strategic implementation of Infrastructure as Code ( IaC) methodologies in enterprise AWS cloud migrations, demonstrating how organizations can enhance automation, security, and scalability throughout their infrastructure lifecycle. | Methodology: approaches achieve substantial improvements in deployment efficiency, configuration consistency, security posture, and operational costs while establishing foundations for future automation capabilities. | Key Findings: 42% adoption rate; 60% faster implementation times for new infra; 60% faster. | Contributions: contribute to a shared repository of patterns and modules. | Limitations: challenges for organizations planning large -scale migrations."
15,International Journal of Leading Research Publication (IJLRP),Authors not extracted,of Leading Research Publication (IJLRP),of Leading Research Publication (IJLRP),2020,"Objectives: Purpose The article contrasts and compares leading tools and strategic trends for automating infrastructure deployment in DevOps pipelines —with a focus on scalability. | Methodology: techniques of better infrastructure management in DevOps environments. | Limitations: constraints Use Case Example : A financial institution uses Ansible to configure internal servers, install packages, apply security hardening, and manage firewall rules across on -premises data centers and Azure."
17,Scalable GitOps Models for Multi -Cloud Infrastructure as,Authors not extracted,of Computing and Engineering,of Computing and Engineering,2022,"Objectives: As enterprises embrace multi -cloud strategies to enhance agility, reduce vendor lock -in, and meet regulatory requirements, the need for scalable and reliable infrastructure management becomes critical | Methodology: models tailored for multi - cloud deployments, highlighting key a rchitectural patterns, toolchains, and workflows that enable secure, auditable, and automated infrastructure operations. | Key Findings: 977x Accepted. | Limitations: challenges, including managing cloud -specific constructs, handling provider versioning differences, and ensuring idempotency across platforms."
20,Multi-IaC-Eval: Benchmarking Cloud Infrastructure,"Sam Davidson, Li Sun, Bhavana Bhasker, Laurent Callot, Anoop Deoras",arXiv:2509.05303v1 [cs.DC] 21 Aug 2025,arXiv:2509.05303v1 [cs.DC] 21 Aug 2025,2019,"Objectives: We present Multi-IaC-Bench, a novel benchmark dataset for evaluating LLM-based IaC generation and mutation across AWS CloudFormation, Terraform, and Cloud Development Kit (CDK) formats. | Methodology: frameworks such as CloudFormation, the Cloud Development Kit (CDK), and Terraform, teams can confidently replicate applications across environments, make iterative changes, and ensure consistent infrastructure provisioning. | Key Findings: 56.7% of the test cases; 8.9% unit test pass; 98% of test cases; 70.79% of cases; 56.81% functional equivalency. | Contributions: we propose a novel benchmark dataset to evaluate the task of using natural language requests to generate and/or modify IaC templates. | Limitations: challenges is the need to create datasets of curated examples for system evaluation and model training across multiple IaC formats."
22,Digital Object Identifier 10.1 109/ACCESS.2020.2966597,Authors not extracted,this manuscript and,this manuscript and,2019,"Objectives: objective of the present work is to compare a model-driven tool (Argon) with a well-known code-centric tool (Ansible) in order to provide empirical evidence of their effectiveness when de ning the cloud infrastructure, and the participants' perceptions when using these tools. | Methodology: approach supports code-centric tools that use scripts to specify the creation, updating and execution of cloud infrastructure resources. | Contributions: we proposed an infrastructure mod- eling approach and tool called Argon for cloud provisioning, which leverages model-driven engineering and supports the IaC approach. | Limitations: challenges in many of today's orga- nizations is how to deliver a new idea or software artifact to customers as fast as possible."
25,Strategies for managing hybrid cloud architectures with IaC: A practical fram ework,Authors not extracted,of Science and Research Archive,of Science and Research Archive,2025,"Objectives: This article presents a comprehensive framework for managing hybrid cloud architectures through Infrastructure as Code (IaC), addressing the complex challenges organizations face when maintaining infrastructure across on -premises and cloud environments. | Methodology: frameworks and implementation approaches . | Key Findings: 23% increase in operational efficiency after; 23% increase. | Limitations: challenges in maintaining consistent state management across complex hybrid environments."
27,International Journal of Scientific Research in E ngineering and Management  (IJSREM),Authors not extracted,of Scientific Research in E ngineering and Management (IJSREM),of Scientific Research in E ngineering and Management (IJSREM),2025,"Objectives: we propose a fully automated pipeline for drift detection and model retraining, designed to ensure sustained model performance with minimal human intervention. | Methodology: model reliability and pre - dictive accuracy in production systems. | Contributions: we propose an automated drift detection and retraining pipeline tailored for deployed machine learning models. | Limitations: challenges in maintaining the reliability and accuracy of predictive systems, particularly in critical applications such as fraud detection, healthcare diagnostics, and real -time recommendation engines."
