"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Abstract"
"Infrastructure as Code (IaC): Insights on Various Platforms","https://scispace.com/papers/infrastructure-as-code-iac-insights-on-various-platforms-2eonqds3","2023","Journal Article","Advances in intelligent systems and computing","","10.1007/978-981-19-5443-6_33","","No","In the present-day tech-stack, cloud computing is evolving as a successful and one of the popular fields of technology where the new businesses are achieving success by deploying their functionalities, products, data, and services on cloud instead of on-premises system and that also without depending on any physical component. Infrastructure as code (IaC) is a set of methodologies which uses code to set up the install packages, virtual machines and networks, and configure environments. A successful IaC implementation and adoption by developers requires a broad set of skills and knowledge. It is DevelopmentOperations’ tactic of provisioning an application’s infrastructure and managing it through binary readable configuration files, instead of any hardware configuration."
"Integrating Emerging Technologies with Infrastructure as Code in Distributed Environments","https://scispace.com/papers/integrating-emerging-technologies-with-infrastructure-as-1zdu44xpb0","2024","Journal Article","","Syed imran Abbas
Ankit Garg","10.1109/icaaic60222.2024.10575600","","No","Manual provisioning of infrastructure limited flexibility, scalability, and stability in distributed environments. The adoption of Infrastructure as Code (IaC) principles has dramatically enhanced deployment agility, reducing infrastructure change implementation to mere minutes. Automation facilitated dynamic scaling, optimizing resource utilization and cost efficiency. By standardizing configurations as code, IaC improved consistency and reliability, mitigating the risks associated with configuration drift and security vulnerabilities. This shift significantly reduced operational overhead, allowing IT teams to concentrate on strategic initiatives. Uniform and auditable configurations strengthened security and compliance, ensuring adherence to regulatory standards. The integration of IaC with emerging technologies has revolutionized organizational operations, enabling enterprises to navigate complex digital landscapes with increased agility and resilience. Through automation and standardization, organizations are now better positioned for sustained success and competitiveness in the evolving digital era."
"Enterprise SaaS Workloads on New-Generation Infrastructure-as-Code (iac) on Multi-Cloud Platforms","https://scispace.com/papers/enterprise-saas-workloads-on-new-generation-infrastructure-1qohenqhdndz","","","","Sandesh Achar","10.18034/gdeb.v10i2.652","","No","Cloud Computing has become the primary model used by DevOps practitioners and researchers to provision infrastructure in minimal time. But recently, the traditional method of using a single cloud provider has fallen out of favor due to several limitations regarding performance, compliance rules, geographical reach, and vendor lock-in. To address these issues, industry and academia are implementing multiple clouds (i.e., multi-cloud). However, managing the infrastructure provisioning of enterprise SaaS applications faces several challenges, such as configuration drift and the heterogeneity of cloud providers. This has seen Infrastructure-as-Code (IaC) technologies being used to automate the deployment of SaaS applications. IaC facilitates the rapid deployment of new versions of application infrastructures without degrading quality or stability. Therefore, this work presents a vision of uniformly managing the infrastructure provisioning of enterprise SaaS applications that utilize multiple cloud providers. Hence, we introduce an initial design for the IaC-based Multi-Cloud Deployment pattern and discuss how it addresses the relative challenges."
"Effectively managing configuration drift","https://scispace.com/papers/effectively-managing-configuration-drift-2jto19wui8","2011","Patent","","Shon K. Shah
Prasanna Sridhar
James P. Finnigan
Srivatsan Parthasarathy
Alan H. Goodman","","","No","Configuration drift refers to changes made over time that cause a computer or service to deviate from a desired configuration. Configuration drift of a group of machines can be managed by defining configuration intent. Intent is defined by defining a configuration baseline comprised of a collection of related configuration rules. Configuration rules include settings, and targets which can be any managed entity that enables reporting of non-compliance at a more granular level. A configuration baseline can be completed by reading configuration rules from one or more well-configured computers. Configuration drift is assessed by comparing actual values to the configuration baseline values and is reported at a managed entity level instead of at a machine level. Remediation, returning the computer to a state of compliance with the configuration baseline, can be performed on demand. Remediations performed over time are retained and applied to a new instance of the service to eliminate configuration drift on the new instance."
"On Unifying the Compliance Management of Applications Based on IaC Automation","https://scispace.com/papers/on-unifying-the-compliance-management-of-applications-based-yq43btlh","2022","Journal Article","","Ghareeb Falazi
Uwe Breitenbücher
Frank Leymann
Miles Stötzner
Evangelos Ntentos
Uwe Zdun
Martin Becker
Elena Heldwein","10.1109/ICSA-C54293.2022.00050","","No","Infrastructure-as-Code (IaC) technologies are used to automate the deployment of cloud applications. They promote the usage of code to define and configure the IT infrastructure of cloud applications allowing them to benefit from conventional software development practices, which facilitates the rapid deployment of new versions of application infrastructures without sacrificing quality or stability. On the other hand, enterprise applications need to conform to compliance regarding external regulations and internal policies. Many of these compliance rules affect the application architecture on which IaC code operates. However, managing the architectural compliance of IaC-based application deployments faces a number of challenges, such as configuration drift and the heterogeneity of IaC technologies. Therefore, in this work, we present a vision on how to uniformly manage the compliance of the infrastructure of applications that utilize heterogeneous IaC technologies for deployment automation. To this end, we introduce an initial design for the IaC-based Architectural Compliance Management Framework and discuss how it addresses the corresponding challenges."
"Challenges Towards Modeling and Generating Infrastructure-as-Code","https://scispace.com/papers/challenges-towards-modeling-and-generating-infrastructure-as-24iepbs1","2023","Proceedings Article","International Conference on Performance Engineering","Galia Novakova Nedeltcheva","10.1145/3578245.3584937","","Yes","The infrastructure-as-code (IaC) is an approach for automating the deployment, maintenance, and monitoring of environments for online services and applications that developers usually do manually. The benefit is not only reducing the time and effort but also the operational costs. This paper aims at describing our experience in applying IaC in cloud-native applications, mainly discussing the key challenges towards modeling and generating IaC faced in the ongoing project Programming Trustworthy Infrastructure-As-Code in a Secure Framework (PIACERE). The concluding insights could spur the wider adoption of IaC by software developers."
"Implementing Infrastructure as Code (IaC) for Scalable DevOps Automation in Hybrid Cloud","https://scispace.com/papers/implementing-infrastructure-as-code-iac-for-scalable-devops-5nzf32htp115","2024","Journal Article","Journal of Sustainable Solutions.","Venkat Marella","10.36676/j.sust.sol.v1.i4.46","https://jss.thewriters.in/index.php/jss/article/download/46/39","No","The devOps approach known as Infrastructure as Code (IaC) automates all of the infrastructure's requirements to improve deployment speed, security, scalability, and automatic backup and restoration. Writing code that explains the infrastructure—which allows resources to be generated, destroyed, scaled, replaced, and relocated with ease—is the focus of Infrastructure as a Code (IaC). Installing an operating system on it, setting up servers on instance, adjusting how the software in the instances communicates with one other, and much more are all part of the scripting environment process. In order to achieve an effective infrastructure across all sectors while maintaining security via the usage of public and private clouds, this paper examines a number of tools and technology sets. By automating infrastructure deployment and procedures, continually enhancing the integration and delivery process, and monitoring application performance indicators, DevOps dismantles communication silos and enhances teamwork and productivity. In DevOps, automation is essential, and ""Infrastructure as code (IaC)"" is a critical component of automation. The management of infrastructure in cloud and physical datacenter systems will also be covered in this article, along with the impact of agile, DevOps, and IaC on infrastructure management. e. In order to achieve an effective infrastructure across all sectors while maintaining security via the usage of public and private clouds, this paper examines a number of tools and technology sets. Our results indicate that adopting IaC has many advantages, but there may also be some difficulties in putting IaC into practice. Additionally, the research recognizes the contribution of DevOps, cloud systems, and agile to the deployment of Infrastructure as a code."
"Empowering DevOps with Infrastructure as Code :Trends, Tools and Techniques","https://scispace.com/papers/empowering-devops-with-infrastructure-as-code-trends-tools-1dpc33eeo9","2024","Journal Article","Indian Scientific Journal Of Research In Engineering And Management","Sarita Ranjan","10.55041/ijsrem35407","https://scispace.com/pdf/empowering-devops-with-infrastructure-as-code-trends-tools-1dpc33eeo9.pdf","No","DevOps has arisen as a pillar of modern software engineering, emphasising the integration of development and operations to ensure effective product delivery. Infrastructure as Code (IaC) is an important DevOps technique that involves defining and managing infrastructure requirements using code, enabling for automated provisioning and maintenance. This technique enhances traceability, reuse, and consistency across development and production environments. The introduction of microservices architectures has increased project teams’ infras- tructure responsibilities, making IaC essential for delivering reliable and efficient deployments. IaC enables developers to describe infrastructure in code, simplifying the deployment process. In both large and small businesses, IaC is essen- tial for supporting efficient DevOps processes.The most recent breakthroughs, tools, and techniques in IaC demonstrate a revolutionary impact on software development and deployment workflows. As more businesses adopt cloud-native designs and containerisation technologies, the requirement for automated infrastructure provisioning grows, leading in the growth of IaC tools and methodologies. Organisations that combine IaC with continuous integration and delivery (CI/CD) pipelines can re- duce time-to-market and improve operational efficiency. IaC not only automates infrastructure management, but it also includes software engineering principles like version control and testing into infrastructure provisioning, which improves consistency and reliability. This democratisation of infrastructure management encourages increased collaboration across cross-functional teams, hence improving accountability and innovation. Implementing IaC is therefore crucial for achieving agility, scalability, and resilience in the digital age. Index Terms—Iac, DevOps, CI/CD, Automation, Cloud-native, Infrastructure Provisioning ,Terraform, Ansible, AWS CloudFor- mation"
"Pipeline Infrastructure Required to Meet the Requirements on AI","https://scispace.com/papers/pipeline-infrastructure-required-to-meet-the-requirements-on-2lumkhzw","2023","Journal Article","IEEE Software","Markus Borg","10.1109/MS.2022.3211687","","No","The theme of this issue is infrastructure as code (IaC). This concept typically refers to the application of software engineering practices in managing deployment infrastructure. Moving from physical hardware to virtual machines using configuration files that are way more flexible—and they can be version controlled and distributed. As such, IaC paves the way for automation and DevOps. This column touches upon similar topics: pipeline infrastructure to meet regulatory requirements on trustworthy AI solutions."
"Demystifying infrastructure automation: Evolving from scripts to self-healing systems","https://scispace.com/papers/demystifying-infrastructure-automation-evolving-from-scripts-1bdyyexosazn","2025","Journal Article","World Journal Of Advanced Research and Reviews","Mahipal Reddy Yalla","10.30574/wjarr.2025.26.2.1987","","No","Infrastructure automation has undergone a revolutionary transformation from rudimentary scripting tools to sophisticated AI-driven platforms, fundamentally reshaping enterprise IT operations and competitive dynamics. This evolution began with basic automation scripts in the 1990s, which offered limited coverage and required extensive maintenance, before progressing through several distinct technological epochs. The emergence of configuration management platforms between 2005-2012 introduced the transformative ""infrastructure as code"" paradigm, enabling version-controlled deployments and reducing configuration drift by over 80%. Cloud orchestration and containerization subsequently accelerated this progression, with enterprises achieving deployment time reductions exceeding 94% and dramatic improvements in operational efficiency. The integration of artificial intelligence represents the latest evolutionary stage, with AIOps platforms detecting anomalies before conventional tools and autonomously resolving routine incidents with exceptional accuracy. Beyond technical benefits, these advancements deliver substantial business value, including accelerated time-to-market, dramatically reduced operational costs, enhanced resilience, improved scalability, and optimized talent utilization. Organizations leveraging advanced automation demonstrate significantly higher profit margins, market share growth, and innovation throughput compared to traditional counterparts. As infrastructure environments continue to increase in complexity and scale, AI-driven automation has become not merely a technological advancement but a strategic business imperative essential for maintaining competitive advantages in rapidly evolving digital markets."
