"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"KubeAdaptor: A Docking Framework for Workflow Containerization on Kubernetes","https://scispace.com/paper/http://arxiv.org/abs/2207.01222v1","2022","Preprint","","Chenggang Shan
Guan Wang
Yuanqing Xia
Yufeng Zhan
Jinhui Zhang","","https://arxiv.org/pdf/2207.01222v1","As Kubernetes becomes the infrastructure of the cloud-native era, the integration of workflow systems with Kubernetes is gaining more and more popularity. To our knowledge, workflow systems employ scheduling algorithms that optimize task execution order of workflow to improve performance and execution efficiency. However, due to its inherent scheduling mechanism, Kubernetes does not execute containerized scheduling following the optimized task execution order of workflow amid migrating workflow systems to the Kubernetes platform. This inconsistency in task scheduling order seriously degrades the efficiency of workflow execution and brings numerous challenges to the containerized process of workflow systems on Kubernetes. In this paper, we propose a cloud-native workflow engine, also known as KubeAdaptor, a docking framework able to implement workflow containerization on Kubernetes, integrate workflow systems with Kubernetes, ensuring the consistency of task scheduling order. We introduce the design and architecture of the KubeAdaptor, elaborate on the functionality implementation and the event-trigger mechanism within the KubeAdaptor. Experimental results about four real-world workflows show that the KubeAdaptor ensures the consistency of the workflow systems and Kubernetes in the task scheduling order. Compared with the baseline Argo workflow engine, the KubeAdaptor achieves better performance in terms of the average execution time of task pod, average workflow lifecycle, and resource usage rate."
"XI Commandments of Kubernetes Security: A Systematization of Knowledge Related to Kubernetes Security Practices","https://scispace.com/paper/http://arxiv.org/abs/2006.15275v1","2020","Preprint","","Md. Shazibul Islam Shamim
Farzana Ahamed Bhuiyan
Akond Rahman","","https://arxiv.org/pdf/2006.15275v1","Kubernetes is an open-source software for automating management of computerized services. Organizations, such as IBM, Capital One and Adidas use Kubernetes to deploy and manage their containers, and have reported benefits related to deployment frequency. Despite reported benefits, Kubernetes deployments are susceptible to security vulnerabilities, such as those that occurred at Tesla in 2018. A systematization of Kubernetes security practices can help practitioners mitigate vulnerabilities in their Kubernetes deployments. The goal of this paper is to help practitioners in securing their Kubernetes installations through a systematization of knowledge related to Kubernetes security practices. We systematize knowledge by applying qualitative analysis on 104 Internet artifacts. We identify 11 security practices that include (i) implementation of role-based access control (RBAC) authorization to provide least privilege, (ii) applying security patches to keep Kubernetes updated, and (iii) implementing pod and network specific security policies."
"Insights from the Usage of the Ansible Lightspeed Code Completion Service","https://scispace.com/paper/http://arxiv.org/abs/2402.17442v4","2024","Preprint","","Priyam Sahoo
Saurabh Pujar
Ganesh Nalawade
Richard Gebhardt
Louis Mandel
Luca Buratti","","https://arxiv.org/pdf/2402.17442v4","The availability of Large Language Models (LLMs) which can generate code, has made it possible to create tools that improve developer productivity. Integrated development environments or IDEs which developers use to write software are often used as an interface to interact with LLMs. Although many such tools have been released, almost all of them focus on general-purpose programming languages. Domain-specific languages, such as those crucial for Information Technology (IT) automation, have not received much attention. Ansible is one such YAML-based IT automation-specific language. Ansible Lightspeed is an LLM-based service designed explicitly to generate Ansible YAML, given natural language prompt.
  In this paper, we present the design and implementation of the Ansible Lightspeed service. We then evaluate its utility to developers using diverse indicators, including extended utilization, analysis of user edited suggestions, as well as user sentiments analysis. The evaluation is based on data collected for 10,696 real users including 3,910 returning users. The code for Ansible Lightspeed service and the analysis framework is made available for others to use.
  To our knowledge, our study is the first to involve thousands of users of code assistants for domain-specific languages. We are also the first code completion tool to present N-Day user retention figures, which is 13.66% on Day 30. We propose an improved version of user acceptance rate, called Strong Acceptance rate, where a suggestion is considered accepted only if less than 50% of it is edited and these edits do not change critical parts of the suggestion. By focusing on Ansible, Lightspeed is able to achieve a strong acceptance rate of 49.08% for multi-line Ansible task suggestions. With our findings we provide insights into the effectiveness of small, dedicated models in a domain-specific context."
"Three-dimensional evolution of erupted flux ropes from the Sun (2-20 Rs) to 1 AU","https://scispace.com/paper/http://arxiv.org/abs/1211.2108v2","2012","Preprint","","A. Isavnin
A. Vourlidas
E. K. J. Kilpua","10.1007/s11207-012-0214-3","https://arxiv.org/pdf/1211.2108v2","Studying the evolution of magnetic clouds entrained in coronal mass ejections using in-situ data is a difficult task since only a limited number of observational points is available at large heliocentric distances. Remote sensing observations can, however, provide important information for events close to the Sun. In this work we estimate the flux rope orientation first in the close vicinity of the Sun (2-20 Rs) using forward modeling of STEREO/SECCHI and SOHO/LASCO coronagraph images of coronal mass ejections and then in-situ using Grad-Shafranov reconstruction of the magnetic cloud. Thus, we are able to measure changes in the orientation of the erupted flux ropes as they propagate from the Sun to 1 AU. We present both techniques and use them to study 15 magnetic clouds observed during the minimum following Solar Cycle 23 and the rise of Solar Cycle 24. This is the first multievent study to compare the three-dimensional parameters of CMEs from imaging and in-situ reconstructions. The results of our analysis confirm earlier studies showing that the flux ropes tend to deflect towards the solar equatorial plane. We also find evidence of rotation on their travel from the Sun to 1 AU. In contrast to past studies, our method allows one to deduce the evolution of the three-dimensional orientation of individual flux ropes rather than on a statistical basis."
"Security Smells in Ansible and Chef Scripts: A Replication Study","https://scispace.com/paper/http://arxiv.org/abs/1907.07159v2","2019","Preprint","","Akond Rahman
Md. Rayhanur Rahman
Chris Parnin
Laurie Williams","","https://arxiv.org/pdf/1907.07159v2","Context: Security smells are recurring coding patterns that are indicative of security weakness, and require further inspection. As infrastructure as code (IaC) scripts, such as Ansible and Chef scripts, are used to provision cloud-based servers and systems at scale, security smells in IaC scripts could be used to enable malicious users to exploit vulnerabilities in the provisioned systems. Goal: The goal of this paper is to help practitioners avoid insecure coding practices while developing infrastructure as code scripts through an empirical study of security smells in Ansible and Chef scripts. Methodology: We conduct a replication study where we apply qualitative analysis with 1,956 IaC scripts to identify security smells for IaC scripts written in two languages: Ansible and Chef. We construct a static analysis tool called Security Linter for Ansible and Chef scripts (SLAC) to automatically identify security smells in 50,323 scripts collected from 813 open source software repositories. We also submit bug reports for 1,000 randomly-selected smell occurrences. Results: We identify two security smells not reported in prior work: missing default in case statement and no integrity check. By applying SLAC we identify 46,600 occurrences of security smells that include 7,849 hard-coded passwords. We observe agreement for 65 of the responded 94 bug reports, which suggests the relevance of security smells for Ansible and Chef scripts amongst practitioners. Conclusion: We observe security smells to be prevalent in Ansible and Chef scripts, similar to that of the Puppet scripts. We recommend practitioners to rigorously inspect the presence of the identified security smells in Ansible and Chef scripts using (i) code review, and (ii) static analysis tools."
"Performance Evaluation of Intent-Based Networking Scenarios: A GitOps and Nephio Approach","https://scispace.com/paper/http://arxiv.org/abs/2509.13901v1","2025","Preprint","","Saptarshi Ghosh
Ioannis Mavromatis
Konstantinos Antonakoglou
Konstantinos Katsaros","","https://arxiv.org/pdf/2509.13901v1","GitOps has emerged as a foundational paradigm for managing cloud-native infrastructures by enabling declarative configuration, version-controlled state, and automated reconciliation between intents and runtime deployments. Despite its widespread adoption, the performance and scalability of GitOps tools in Intent-Based Networking (IBN) scenarios are insufficiently evaluated. This paper presents a reproducible, metric-driven benchmarking, assessing the latency and resource overheads of three widely used GitOps operators: Argo CD, Flux CD, and ConfigSync. We conduct controlled experiments under both single- and multi-intent scenarios, capturing key performance indicators such as latency and resource consumption. Our results highlight trade-offs between the tools in terms of determinism, resource efficiency, and responsiveness. We further investigate a realistic orchestration scenario, using Nephio as our orchestrator, to quantify the processing latency and overhead in declarative end-to-end deployment pipelines. Our findings can offer valuable insights for tool selection and optimisation in future autonomous network orchestration systems."
"Accelerating Control Systems with GitOps: A Path to Automation and Reliability","https://scispace.com/paper/http://arxiv.org/abs/2511.05663v1","2025","Preprint","","M. Gonzalez
M. Acosta","","https://arxiv.org/pdf/2511.05663v1","GitOps is a foundational approach for modernizing infrastructure by leveraging Git as the single source of truth for declarative configurations. The poster explores how GitOps transforms traditional control system infrastructure, services and applications by enabling fully automated, auditable, and version-controlled infrastructure management. Cloud-native and containerized environments are shifting the ecosystem not only in the IT industry but also within the computational science field, as is the case of CERN [1] and Diamond Light Source [2] among other Accelerator/Science facilities which are slowly shifting towards modern software and infrastructure paradigms. The ACORN project, which aims to modernize Fermilab's control system infrastructure and software is implementing proven best-practices and cutting-edge technology standards including GitOps, containerization, infrastructure as code and modern data pipelines for control system data acquisition and the inclusion of AI/ML in our accelerator complex."
"Dozer: Migrating Shell Commands to Ansible Modules via Execution Profiling and Synthesis","https://scispace.com/paper/http://arxiv.org/abs/2203.12065v1","2022","Preprint","","Eric Horton
Chris Parnin","","https://arxiv.org/pdf/2203.12065v1","Software developers frequently use the system shell to perform configuration management tasks. Unfortunately, the shell does not scale well to large systems, and configuration management tools like Ansible are more difficult to learn. We address this problem with Dozer, a technique to help developers push their shell commands into Ansible task definitions. It operates by tracing and comparing system calls to find Ansible modules with similar behaviors to shell commands, then generating and validating migrations to find the task which produces the most similar changes to the system. Dozer is syntax agnostic, which should allow it to generalize to other configuration management platforms. We evaluate Dozer using datasets from open source configuration scripts."
"The Ultimate Configuration Management Tool? Lessons from a Mixed Methods Study of Ansible's Challenges","https://scispace.com/paper/http://arxiv.org/abs/2504.08678v3","2025","Preprint","","Carolina Carreira
Nuno Saavedra
Alexandra Mendes
João F. Ferreira","","https://arxiv.org/pdf/2504.08678v3","Infrastructure as Code (IaC) tools have transformed the way IT infrastructure is automated and managed, but their growing adoption has also exposed numerous challenges for practitioners. In this paper, we investigate these challenges through the lens of Ansible, a popular IaC tool. Using a mixed methods approach, we investigate challenges faced by practitioners. We analyze 59,157 posts from Stack Overflow, Reddit, and the Ansible Forum to identify common pain points, complemented by 20 semi-structured interviews with practitioners of varying expertise levels.
  Based on our findings, we highlight key directions for improving Ansible, with implications for other IaC technologies, including stronger failure locality to support debugging, clearer separation of language and templating boundaries, targeted documentation, and improved execution backends to address performance issues. By grounding these insights in the real-world struggles of Ansible users, this study provides actionable guidance for tool designers and for the broader IaC community, and contributes to a deeper understanding of the trade-offs inherent in IaC tools."
"Rearchitecting Kubernetes for the Edge","https://scispace.com/paper/http://arxiv.org/abs/2104.02423v1","2021","Preprint","","Andrew Jeffery
Heidi Howard
Richard Mortier","10.1145/3434770.3459730","https://arxiv.org/pdf/2104.02423v1","Recent years have seen Kubernetes emerge as a primary choice for container orchestration. Kubernetes largely targets the cloud environment but new use cases require performant, available and scalable orchestration at the edge. Kubernetes stores all cluster state in etcd, a strongly consistent key-value store. We find that at larger etcd cluster sizes, offering higher availability, write request latency significantly increases and throughput decreases similarly. Coupled with approximately 30% of Kubernetes requests being writes, this directly impacts the request latency and availability of Kubernetes, reducing its suitability for the edge. We revisit the requirement of strong consistency and propose an eventually consistent approach instead. This enables higher performance, availability and scalability whilst still supporting the broad needs of Kubernetes. This aims to make Kubernetes much more suitable for performance-critical, dynamically-scaled edge solutions."
