"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Infrastructure as code for dynamic deployments","https://scispace.com/paper/infrastructure-as-code-for-dynamic-deployments-1dkms5jq","2022","Proceedings Article","Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering","Daniel Sokolowski","10.1145/3540250.3558912","https://dl.acm.org/doi/pdf/10.1145/3540250.3558912?trk=public_post_comment-text","… To illustrate the difference between static IaC and dynamic IaC, we discuss a website deployment: A static HTML page that shows the weekday hosted in an AWS S3 bucket. Listing 1 is …","Modern DevOps organizations require a high degree of automation to achieve software stability at frequent changes. Further, there is a need for flexible, timely reconfiguration of the infrastructure, e.g., to use pay-per-use infrastructure efficiently based on application load. Infrastructure as Code (IaC) is the DevOps tool to automate infrastructure. However, modern static IaC solutions only support infrastructures that are deployed and do not change afterward. To implement infrastructures that change dynamically over time, static IaC programs have to be (updated and) re-run, e.g., in a CI/CD pipeline, or configure an external orchestrator that implements the dynamic behavior, e.g., an autoscaler or Kubernetes operator. Both do not capture the dynamic behavior in the IaC program and prevent analyzing and testing the infrastructure configuration jointly with its dynamic behavior. To fill this gap, we envision dynamic IaC, which augments static IaC with the ability to define dynamic behavior within the IaC program. In contrast to static IaC programs, dynamic IaC programs run continuously. They re-evaluate program parts that depend on external signals when these change and automatically adjust the infrastructure accordingly. We implement DIaC as the first dynamic IaC solution and demonstrate it in two realistic use cases of broader relevance. With dynamic IaC, ensuring the program’s correctness is even harder than for static IaC because programs may define many target configurations in contrast to only a few. However, for this reason, it is also more critical. To solve this issue, we propose automated, specialized property-based testing for IaC programs and implement it in ProTI."
"Automated Drift Detection and Remediation in Infrastructure-as-Code (IaC) Deployments","https://scispace.com/paper/7WagyVOIBZUJ","","","","AM Solanki","","https://norma.ncirl.ie/7730/1/anujamahendrasinghsolanki.pdf","… infrastructure drift in Infrastructure-as-Code (IaC) controlled cloud settings, with a focus on Amazon Web Services CloudFormation. IaC … It helps to improve IaC practices and keep cloud …",""
"A systematic mapping study of infrastructure as code research","https://scispace.com/paper/a-systematic-mapping-study-of-infrastructure-as-code-3mm0kc4tro","2019","Journal Article","Information & Software Technology","Akond Rahman
Rezvan Mahdavi-Hezaveh
Laurie Williams","10.1016/J.INFSOF.2018.12.004","https://arxiv.org/pdf/1807.04872","… , we identify 32 publications related to IaC. We identify topics addressed in … IaC-related publications: (i) framework/tool for infrastructure as code; (ii) adoption of infrastructure as code…","Context: Infrastructure as code (IaC) is the practice to automatically configure system dependencies and to provision local and remote instances Practitioners consider IaC as a fundamental pillar to implement DevOps practices, which helps them to rapidly deliver software and services to end-users Information technology (IT) organizations, such as GitHub, Mozilla, Facebook, Google and Netflix have adopted IaC A systematic mapping study on existing IaC research can help researchers to identify potential research areas related to IaC, for example defects and security flaws that may occur in IaC scripts Objective: The objective of this paper is to help researchers identify research areas related to infrastructure as code (IaC) by conducting a systematic mapping study of IaC-related research Method: We conduct our research study by searching five scholar databases We collect a set of 31,498 publications by using seven search strings By systematically applying inclusion and exclusion criteria, which includes removing duplicates and removing non-English and non peer-reviewed publications, we identify 32 publications related to IaC We identify topics addressed in these publications by applying qualitative analysis Results: We identify four topics studied in IaC-related publications: (i) framework/tool for infrastructure as code; (ii) adoption of infrastructure as code; (iii) empirical study related to infrastructure as code; and (iv) testing in infrastructure as code According to our analysis, 500% of the studied 32 publications propose a framework or tool to implement the practice of IaC or extend the functionality of an existing IaC tool Conclusion: Our findings suggest that framework or tools is a well-studied topic in IaC research As defects and security flaws can have serious consequences for the deployment and development environments in DevOps, we observe the need for research studies that will study defects and security flaws for IaC"
"A Systematic Review of Infrastructure-as-Code Technologies","https://scispace.com/paper/8yizoNInDJMJ","","","","C Pahl
NG Gunduz
Ö Can
SA Ghamgosar
F Hofer","","https://www.researchgate.net/profile/Claus-Pahl/publication/395713601_A_Systematic_Review_of_Infrastructure-as-Code_Technologies/links/68d13459d221a404b2a1b8bb/A-Systematic-Review-of-Infrastructure-as-Code-Technologies.pdf","… The objective of IaC lifecycle support in a DevOps framework ranges from generating IaC code to self-adapting IaC code at the end of the cycle. IaC is primarily concerned with the …",""
"Integrating Emerging Technologies with Infrastructure as Code in Distributed Environments","https://scispace.com/paper/integrating-emerging-technologies-with-infrastructure-as-1zdu44xpb0","2024","Journal Article","","Syed imran Abbas
Ankit Garg","10.1109/icaaic60222.2024.10575600","","… , IaC improved consistency and reliability, mitigating the risks associated with configuration drift and … The integration of IaC with emerging technologies has revolutionized organizational …","Manual provisioning of infrastructure limited flexibility, scalability, and stability in distributed environments. The adoption of Infrastructure as Code (IaC) principles has dramatically enhanced deployment agility, reducing infrastructure change implementation to mere minutes. Automation facilitated dynamic scaling, optimizing resource utilization and cost efficiency. By standardizing configurations as code, IaC improved consistency and reliability, mitigating the risks associated with configuration drift and security vulnerabilities. This shift significantly reduced operational overhead, allowing IT teams to concentrate on strategic initiatives. Uniform and auditable configurations strengthened security and compliance, ensuring adherence to regulatory standards. The integration of IaC with emerging technologies has revolutionized organizational operations, enabling enterprises to navigate complex digital landscapes with increased agility and resilience. Through automation and standardization, organizations are now better positioned for sustained success and competitiveness in the evolving digital era."
"Automating infrastructure with infrastructure as code (iac)","https://scispace.com/paper/automating-infrastructure-with-infrastructure-as-code-iac-6z0ouiuykie1","2019","Journal Article","International journal of science and research","Sandeep Chinamanagonda","10.21275/sr24829170834","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4986767","… , IaC provides a powerful framework for handling these tasks seamlessly. Moreover, IaC plays … This document explores the core concepts of IaC, the benefits of automating infrastructure, …",""
"Adoption, support, and challenges of infrastructure-as-code: Insights from industry","https://scispace.com/paper/adoption-support-and-challenges-of-infrastructure-as-code-596hu955ap","2019","Proceedings Article","International Conference on Software Maintenance","Michele Guerriero
Martin Garriga
Damian A. Tamburri
Fabio Palomba","10.1109/ICSME.2019.00092","https://dibt.unimol.it/staff/fpalomba/documents/C47.pdf","… IaC and the key software engineering challenges in the field. Particularly, we investigate (i) how practitioners adopt and develop IaC, … when dealing with IaC development, maintenance, …","Infrastructure-as-code (IaC) is the DevOps tactic of managing and provisioning infrastructure through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools. From a maintenance and evolution perspective, the topic has picked the interest of practitioners and academics alike, given the relative scarcity of supporting patterns, best practices, tools, and software engineering techniques. Using the data coming from 44 semistructured interviews to senior developers of as many companies, in this paper we shed light on the state of the practice in the adoption of IaC and the key software engineering challenges in the field. Particularly, we investigate (i) how practitioners adopt and develop IaC, (ii) which support is currently available, i.e., the typically used tools and their advantages/disadvantages, and (iii) what are the practitioner's needs when dealing with IaC development, maintenance, and evolution. Our findings clearly highlight the need for more research in the field: the support provided by currently available tools is still limited, and developers feel the need of novel techniques for testing and maintaining IaC code."
"When your infrastructure is a buggy program: Understanding faults in infrastructure as code ecosystems","https://scispace.com/paper/when-your-infrastructure-is-a-buggy-program-understanding-2dchxhfdiak6","2024","Journal Article","Proceedings of the ACM on programming languages","Georgios-Petros Drosos
Thodoris Sotiropoulos
Georgios Alexopoulos
Dimitris Mitropoulos
Zhendong Su","10.1145/3689799","https://dl.acm.org/doi/pdf/10.1145/3689799","… IaC reliability still have room for improvement. In this work, we conduct a comprehensive analysis of 360 bugs identified in IaC software within prominent IaC … -used IaC environments. …","Modern applications have become increasingly complex and their manual installation and configuration is no longer practical. Instead, IT organizations heavily rely on Infrastructure as Code (IaC) technologies, to automate the provisioning, configuration, and maintenance of computing infrastructures and systems. IaC systems typically offer declarative, domain-specific languages (DSLs) that allow system administrators and developers to write high-level programs that specify the desired state of their infrastructure in a reliable, predictable, and documented fashion. Just like traditional programs, IaC software is not immune to faults, with issues ranging from deployment failures to critical misconfigurations that often impact production systems used by millions of end users. Surprisingly, despite its crucial role in global infrastructure management, the tooling and techniques for ensuring IaC reliability still have room for improvement. In this work, we conduct a comprehensive analysis of 360 bugs identified in IaC software within prominent IaC ecosystems including Ansible, Puppet, and Chef. Our work is the first in-depth exploration of bug characteristics in these widely-used IaC environments. Through our analysis we aim to understand: (1) how these bugs manifest, (2) their underlying root causes, (3) their reproduction requirements in terms of system state (e.g., operating system versions) or input characteristics, and (4) how these bugs are fixed. Based on our findings, we evaluate the state-of-the-art techniques for IaC reliability, identify their limitations, and provide a set of recommendations for future research. We believe that our study helps researchers to (1) better understand the complexity and peculiarities of IaC software, and (2) develop advanced tooling for more reliable and robust system configurations. "
"AI-Driven Configuration Drift Detection in Cloud Environments","https://scispace.com/paper/ai-driven-configuration-drift-detection-in-cloud-065mllgsyu0s","","Journal Article","Social Science Research Network","Gogulakrishnan Thiyagarajan
Vinay Bist
Prabhudarshi Nayak","10.2139/ssrn.5138379","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5138379","… for detecting configuration drift in cloud environments using Infrastructure as Code (IaC) and … to identify deviations between runtime states and IaC-defined baselines. It integrates easily …",""
"Testing practices for infrastructure as code","https://scispace.com/paper/testing-practices-for-infrastructure-as-code-44zn79831f","2020","Proceedings Article","","Mohammed Mehedi Hasan
Farzana Ahamed Bhuiyan
Akond Rahman","10.1145/3416504.3424334","https://dl.acm.org/doi/pdf/10.1145/3416504.3424334","… quality of infrastructure as code (IaC) scripts by identifying a set of testing practices for IaC scripts. We apply open coding on 50 Internet artifacts, such as blog posts to derive IaC testing …","Infrastructure as code (IaC) helps practitioners to rapidly deploy software services to end-users. Despite reported benefits, IaC scripts are susceptible to defects. Defects in IaC scripts can cause serious consequences, for example, creating large-scale outages similar to the Amazon Web Services (AWS) incident in 2017. The prevalence of defects in IaC scripts necessitates practitioners to implement IaC testing and be aware of IaC testing practices. A synthesis of IaC testing practices can enable practitioners in early mitigation of IaC defects and also help researchers to identify potential research avenues. The goal of this paper is to help practitioners improve the quality of infrastructure as code (IaC) scripts by identifying a set of testing practices for IaC scripts. We apply open coding on 50 Internet artifacts, such as blog posts to derive IaC testing practices. We identify six testing practices that include behavior-focused test coverage, the practice of measuring coverage of IaC test cases in terms of expected behavior. We conclude our paper by discussing how practitioners and researchers can leverage our derived list of testing practices for IaC."
