"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Systems and methods for drift correction","https://scispace.com/paper/systems-and-methods-for-drift-correction-1tg0fsztmw","2017","Patent","","Christopher A. Peri","","","A method to correct for drift in an electronic device is described. The method comprises determining a first center pose of the electronic device; tracking, using a sensor in conjunction with computer vision operating on a processor, at least one key point within a scene when the first center pose is within a tolerance with respect to a reported center pose; determining a derived center poser based upon the first center pose and the at least one key point; disabling the sensor for a predetermined time; determining, after the predetermined time, whether a second center pose is within the tolerance with respect to the derived center pose; tracking, using the sensor, the at least one key point when the second center pose is within the tolerance with respect to the derived center pose; and adjusting the second center pose when there is a difference between the second center pose and the derived center pose.","In this article, a method to correct for drift in an electronic device is described, which consists of determining a first center pose of the electronic device, tracking, using a sensor in conjunction with computer vision operating on a processor, at least one key point within a scene when the first centre pose is within a tolerance with respect to a reported center pose."
"Automatic drift correction","https://scispace.com/paper/automatic-drift-correction-3t14uujdjy","1983","Patent","","Brian D. Tucker","","","Drift in the zero or datum reference point of a circuit (such as that forming part of a measuring device) is corrected by sensing the rate of change of the signal provided by the circuit and distinguishing between a rate of change characteristic of that due to a valid signal indicative of a measurement and a rate of change characteristic of that due to drift in the circuit. In one embodiment, a window comparator 18 senses the rate of change of the signal output from circuit 10 by periodically sampling in sample/ hold 16 and then comparing with the current value of the signal. A signal circulating path 20, 21, 22 holds a drift compensating value which is updated when comparator 18 senses a rate of change below a threshold value which is indicative of drift in circuit 10. The drift compensating value is added to the signal from circuit 10 in summing amplifier 15 thereby correcting the signal for drift.","In this article, the drift in the zero or datum reference point of a circuit is corrected by sensing the rate of change of the signal provided by the circuit and distinguishing between a signal characteristic of that due to a valid signal indicative of a measurement and due to drift in a circuit."
"Automated vehicle drift correction","https://scispace.com/paper/automated-vehicle-drift-correction-du4u76brjx","1986","Patent","","Peter Joseph Reeve","","","An automated vehicle includes a navigation system which carries out a dead reckoning calculation of the vehicle's position based on inputs from sensors on the motion of a steering wheel in the preceding time interval, Δt. Parameters of the system including the heading angle, the spatial position x,y the angular drift in the steering angle α, a crabbing angle β and a variation 1 dm in steering wheel radius are updated by the addition of the product of a Kalman gain calculated by computer and an error signal produced each time an observation is made by laser bearing finding equipment on the vehicle.","In this paper, a dead reckoning calculation of the vehicle's position based on inputs from sensors on the motion of a steering wheel in the preceding time interval, Δt, is presented."
"Video frame drift correction","https://scispace.com/paper/video-frame-drift-correction-2sp1gzodel","2020","Patent","","Mark Q. Shaw
Jan P. Allebach
Edward J. Delp","","","In example implementations, a method executed by a processor is provided. The method determines an amount of video information that is lost in a video frame due to compression. A drift correction is applied to the video frame to add back a percentage of the amount of video information that is lost. The video frame is encoded with the drift correction.","In this article, a drift correction is applied to the video frame to add back a percentage of the amount of video information that is lost in a video frame due to video compression."
"Drift correction circuit","https://scispace.com/paper/drift-correction-circuit-59idswrkvn","1977","Patent","","Mori Masaaki","","","PURPOSE:To automatically correct drift of the base line and to perform the exact measurement without using a reference electro-magnetic wave flux by processing the output signal itself of a detector","In this paper, the authors proposed to automatically correct drift of the base line and perform exact measurement without using a reference electro-magnetic wave flux by processing the output signal itself of a detector."
"Effectively managing configuration drift","https://scispace.com/paper/effectively-managing-configuration-drift-2jto19wui8","2011","Patent","","Shon K. Shah
Prasanna Sridhar
James P. Finnigan
Srivatsan Parthasarathy
Alan H. Goodman","","","Configuration drift refers to changes made over time that cause a computer or service to deviate from a desired configuration. Configuration drift of a group of machines can be managed by defining configuration intent. Intent is defined by defining a configuration baseline comprised of a collection of related configuration rules. Configuration rules include settings, and targets which can be any managed entity that enables reporting of non-compliance at a more granular level. A configuration baseline can be completed by reading configuration rules from one or more well-configured computers. Configuration drift is assessed by comparing actual values to the configuration baseline values and is reported at a managed entity level instead of at a machine level. Remediation, returning the computer to a state of compliance with the configuration baseline, can be performed on demand. Remediations performed over time are retained and applied to a new instance of the service to eliminate configuration drift on the new instance.","In this paper, the authors define a configuration baseline comprised of a collection of related configuration rules, which can be any managed entity that enables reporting of non-compliance at a more granular level."
"A drift correction procedure.","https://scispace.com/paper/a-drift-correction-procedure-jsr8a2zya9","1998","Journal Article","Analytical Chemistry","Marc L. Salit
Gregory C. Turk","10.1021/AC980095B","https://scispace.com/pdf/a-drift-correction-procedure-jsr8a2zya9.pdf","A procedure is introduced that can mitigate the deleterious effect of low-frequency noiseoften termed drifton the precision of an analytical experiment. This procedure offers several performance benefits over traditional designs based on the periodic measurement of standards to diagnose and correct for variation in instrument response. Using repeated measurements of every sample as a drift diagnostic, as opposed to requiring the periodic measurement of any given sample or standard, the analyst can better budget the measurement time to be devoted to each sample, distributing it to optimize the uncertainty of the analytical result. The drift is diagnosed from the repeated measurements, a model of the instrument response drift is constructed, and the data are corrected to a “drift-free” condition. This drift-free condition allows data to be accumulated over long periods of time with little or no loss in precision due to drift. More than 10-fold precision enhancements of analytical atomic emission results hav...","Using repeated measurements of every sample as a drift diagnostic, as opposed to requiring the periodic measurement of any given sample or standard, the analyst can better budget the measurement time to be devoted to each sample, distributing it to optimize the uncertainty of the analytical result."
"Transformation drift detection and remediation","https://scispace.com/paper/transformation-drift-detection-and-remediation-19zyh2cf92","2019","Patent","","Shah Rupal Jatinkumar","","","In various example embodiments, a system, computer-readable medium and method to detect and dynamically correct a transformation drift in a data pipeline, the method comprising detecting a change in a transformation performed by an upstream subsystem of the data pipeline on a data field of an output dataset of the upstream subsystem; classifying the data field as an impacted data field; identifying, based on the topology information, a downstream subsystem of the data pipeline downstream of the upstream subsystem; identifying an input dataset of the downstream subsystem including the impacted data field; and performing a corrective transformation on the impacted data field of the input dataset of the downstream subsystem","In this article, a system, computer-readable medium and method to detect and dynamically correct a transformation drift in a data pipeline is presented, the method comprising detecting a change in a transformation performed by an upstream subsystem of the data pipeline on a data field of an output dataset of the upstream subsystem, classifying the data field as an impacted data field, identifying, based on the topology information, a downstream subsystem of data pipeline downstream of the downstream subsystem, and performing a corrective transformation on the impacted data fields of the input dataset of downstream subsystem."
"SP Curve Drift Correction","https://scispace.com/paper/sp-curve-drift-correction-3xgy9wlb0y","2012","Patent","","Adrian Esteban Scillato","","","A method and apparatus for removing drift from a curve of raw data acquired from a wellbore that intersects a subterranean formation. The raw data curve is filtered to remove DC components, integrating the filtered curve generates a new baseline curve. Adding the new base line curve to the filtered curve yields a corrected curve that is used to extract drift from the raw data curve. The corrected curve is filtered and then subtracted from the raw data curve to produce a drift curve. A data curve, absent any drift, is generated by filtering the drift curve, and subtracting the filtered data curve from the raw data curve.","In this article, a method and apparatus for removing drift from a curve of raw data acquired from a wellbore that intersects a subterranean formation is presented, and a data curve, absent any drift, is generated by filtering the drift curve, and subtracting the filtered data curve from the raw data curve."
"Self-Healing RPA Systems: Machine Learning Approaches","https://scispace.com/paper/self-healing-rpa-systems-machine-learning-approaches-ctbb91c4cjmy","2025","Journal Article","International Journal of Basic and Applied Sciences","Kiran Babu Macha","10.14419/ka544y53","","Robotic process automation (RPA) is being adopted as the flagship technology for optimizing rule-based repetitive tasks in virtually all industries. On the other hand, conventional RPA may not be able to handle unforeseen errors due to changes in the software environment, data format, or user interface. A prospective solution to this challenge could be the integration of a self-healing feature powered by machine learning. Thus, focusing on ML-driven solutions for real-time failure detection and automated repair, this study undertakes a holistic review of current advancements toward self-healing RPA systems. Beyond semantic matching, predictive maintenance, and anomaly detection, this study also explores the avenues through which supervised, unsupervised, and reinforcement learning can bolster resilience in RPA. Significant recent advances toward satisfying dynamic execution conditions using natural language processing, deep learning, and explainable artificial intelligence are looked at with a view toward frameworks that leverage these techniques. Current constraints like data shortage, interpretability, and model drift are noted as the study outlines future directions for use and study to take this study towards guiding practitioners and researchers in developing robust, intelligent, and adaptive RPA systems that can autonomously manage operational disruptions. ","This study reviews machine learning approaches for self-healing robotic process automation (RPA) systems, exploring real-time failure detection and automated repair using supervised, unsupervised, and reinforcement learning to enhance RPA resilience and adaptability."
