"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access"
"Infrastructure as Code (IaC): Insights on Various Platforms","https://scispace.com/papers/infrastructure-as-code-iac-insights-on-various-platforms-2eonqds3","2023","Journal Article","Advances in intelligent systems and computing","","10.1007/978-981-19-5443-6_33","","No"
"Integrating Emerging Technologies with Infrastructure as Code in Distributed Environments","https://scispace.com/papers/integrating-emerging-technologies-with-infrastructure-as-1zdu44xpb0","2024","Journal Article","","Syed imran Abbas
Ankit Garg","10.1109/icaaic60222.2024.10575600","","No"
"Enterprise SaaS Workloads on New-Generation Infrastructure-as-Code (iac) on Multi-Cloud Platforms","https://scispace.com/papers/enterprise-saas-workloads-on-new-generation-infrastructure-1qohenqhdndz","","","","Sandesh Achar","10.18034/gdeb.v10i2.652","","No"
"Effectively managing configuration drift","https://scispace.com/papers/effectively-managing-configuration-drift-2jto19wui8","2011","Patent","","Shon K. Shah
Prasanna Sridhar
James P. Finnigan
Srivatsan Parthasarathy
Alan H. Goodman","","","No"
"On Unifying the Compliance Management of Applications Based on IaC Automation","https://scispace.com/papers/on-unifying-the-compliance-management-of-applications-based-yq43btlh","2022","Journal Article","","Ghareeb Falazi
Uwe Breitenbücher
Frank Leymann
Miles Stötzner
Evangelos Ntentos
Uwe Zdun
Martin Becker
Elena Heldwein","10.1109/ICSA-C54293.2022.00050","","No"
"Challenges Towards Modeling and Generating Infrastructure-as-Code","https://scispace.com/papers/challenges-towards-modeling-and-generating-infrastructure-as-24iepbs1","2023","Proceedings Article","International Conference on Performance Engineering","Galia Novakova Nedeltcheva","10.1145/3578245.3584937","","Yes"
"Implementing Infrastructure as Code (IaC) for Scalable DevOps Automation in Hybrid Cloud","https://scispace.com/papers/implementing-infrastructure-as-code-iac-for-scalable-devops-5nzf32htp115","2024","Journal Article","Journal of Sustainable Solutions.","Venkat Marella","10.36676/j.sust.sol.v1.i4.46","https://jss.thewriters.in/index.php/jss/article/download/46/39","No"
"Empowering DevOps with Infrastructure as Code :Trends, Tools and Techniques","https://scispace.com/papers/empowering-devops-with-infrastructure-as-code-trends-tools-1dpc33eeo9","2024","Journal Article","Indian Scientific Journal Of Research In Engineering And Management","Sarita Ranjan","10.55041/ijsrem35407","https://scispace.com/pdf/empowering-devops-with-infrastructure-as-code-trends-tools-1dpc33eeo9.pdf","No"
"Pipeline Infrastructure Required to Meet the Requirements on AI","https://scispace.com/papers/pipeline-infrastructure-required-to-meet-the-requirements-on-2lumkhzw","2023","Journal Article","IEEE Software","Markus Borg","10.1109/MS.2022.3211687","","No"
"Demystifying infrastructure automation: Evolving from scripts to self-healing systems","https://scispace.com/papers/demystifying-infrastructure-automation-evolving-from-scripts-1bdyyexosazn","2025","Journal Article","World Journal Of Advanced Research and Reviews","Mahipal Reddy Yalla","10.30574/wjarr.2025.26.2.1987","","No"
"Infrastructure as Code (IaC) in Cloud Migration: Enhancing Automation, Security and Scalability in AWS","https://scispace.com/papers/infrastructure-as-code-iac-in-cloud-migration-enhancing-rmpazk5bxp0t","2025","Journal Article","World Journal Of Advanced Research and Reviews","S. Challa","10.30574/wjarr.2025.26.2.1989","","No"
"Infrastructure as code for dynamic deployments","https://scispace.com/papers/infrastructure-as-code-for-dynamic-deployments-1dkms5jq","2022","Proceedings Article","Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering","Daniel Sokolowski","10.1145/3540250.3558912","https://scispace.com/pdf/infrastructure-as-code-for-dynamic-deployments-1dkms5jq.pdf","Yes"
"PipeConf: An Integrated Architecture for the Automated Configuration of Network Assets","https://scispace.com/papers/pipeconf-an-integrated-architecture-for-the-automated-1oqi6b3h","2022","Journal Article","IEEE Transactions on Network and Service Management","Aecio Pires
Fernando B. Matos
Aldri Santos
Diego Pessoa
Paulo Ditarso Maciel","10.1109/TNSM.2022.3195382","","No"
"Resolving configuration drift for computing resource stacks","https://scispace.com/papers/resolving-configuration-drift-for-computing-resource-stacks-33ouczq8r0","2020","Patent","","Hussain Amjad
Kumar Anil
Lohan Ryan John
Chakravarthy Diwakar
Lins Julio Cesar Dos Santos
Nakkeeran Prabhu Anand","","","No"
"Adoption, Support, and Challenges of Infrastructure-as-Code: Insights from Industry","https://scispace.com/papers/adoption-support-and-challenges-of-infrastructure-as-code-596hu955ap","2019","Proceedings Article","International Conference on Software Maintenance","Michele Guerriero
Martin Garriga
Damian A. Tamburri
Fabio Palomba","10.1109/ICSME.2019.00092","","No"
"Автоматизація міграції програмного забезпечення у хмарну архітектуру із використанням інструменту інфраструктури як код Terraform у середовищі AWS","https://scispace.com/papers/avtomatizatsiia-migratsiyi-programnogo-zabezpechennia-u-4rjrc04t7fnn","2024","Journal Article","Komp'ûterno-ìntegrovanì tehnologìï: osvìta, nauka, virobnictvo","S. Behlitsov","10.36910/6775-2524-0560-2024-56-12","","No"
"PipeConf: Uma Arquitetura Integrada Para Configuração Automatizada De Ativos De Rede Heterogêneos","https://scispace.com/papers/pipeconf-uma-arquitetura-integrada-para-configuracao-fkngdej7qdfi","","","","Aécio S. Pires
Paulo D. Maciel Jr.
Diego Pessoa
Fernando Matos
Aldri Santos","10.5753/wgrs.2021.17189","","No"
"Infrastructure as Code (IaC) and Its Role in Achieving DevOps Goals","https://scispace.com/papers/infrastructure-as-code-iac-and-its-role-in-achieving-devops-392vpj7543","2023","Journal Article","International journal of science and research","Dinesh Reddy Chittibala","10.21275/sr24304170702","","No"
